x,y,z,cycle,goal
-0.850779,0.123327,0.875388,1,Pick
-0.898828,0.021207,0.844316,1,Pick
-0.927775,-0.086286,0.811097,1,Pick
-0.936804,-0.195118,0.776241,1,Pick
-0.926801,-0.297390,0.741617,1,Pick
-0.901714,-0.387532,0.708774,1,Pick
-0.865956,-0.464321,0.678161,1,Pick
-0.823535,-0.527694,0.650066,1,Pick
-0.777857,-0.578427,0.624640,1,Pick
-0.731659,-0.617830,0.601932,1,Pick
-0.687024,-0.647490,0.581913,1,Pick
-0.645458,-0.669084,0.564507,1,Pick
-0.607987,-0.684233,0.549604,1,Pick
-0.575268,-0.694420,0.537087,1,Pick
-0.547682,-0.700940,0.526833,1,Pick
-0.525424,-0.704874,0.518733,1,Pick
-0.508569,-0.707081,0.512690,1,Pick
-0.497129,-0.708204,0.508630,1,Pick
-0.491090,-0.708676,0.506499,1,Pick
-0.490052,-0.708749,0.506134,1,Pick
-0.490052,-0.708749,0.506134,2,Pick
-0.489559,-0.708905,0.506206,2,Pick
-0.488081,-0.709374,0.506438,2,Pick
-0.485622,-0.710159,0.506864,2,Pick
-0.482189,-0.711261,0.507547,2,Pick
-0.477797,-0.712686,0.508574,2,Pick
-0.472471,-0.714439,0.510053,2,Pick
-0.466255,-0.716527,0.512118,2,Pick
-0.459214,-0.718954,0.514921,2,Pick
-0.451443,-0.721726,0.518631,2,Pick
-0.443078,-0.724845,0.523428,2,Pick
-0.434295,-0.728307,0.529495,2,Pick
-0.425328,-0.732102,0.537009,2,Pick
-0.416463,-0.736206,0.546123,2,Pick
-0.408049,-0.740582,0.556958,2,Pick
-0.400496,-0.745169,0.569574,2,Pick
-0.394277,-0.749871,0.583914,2,Pick
-0.390016,-0.754380,0.599158,2,Pick
-0.387911,-0.758543,0.614783,2,Pick
-0.387999,-0.762288,0.630482,2,Pick
-0.390270,-0.765546,0.645943,2,Pick
-0.394666,-0.768254,0.660858,2,Pick
-0.401085,-0.770358,0.674929,2,Pick
-0.409383,-0.771814,0.687874,2,Pick
-0.419373,-0.772590,0.699433,2,Pick
-0.430835,-0.772669,0.709372,2,Pick
-0.443517,-0.772046,0.717492,2,Pick
-0.457143,-0.770735,0.723630,2,Pick
-0.471416,-0.768761,0.727664,2,Pick
-0.486027,-0.766168,0.729514,2,Pick
-0.500661,-0.763013,0.729145,2,Pick
-0.515004,-0.759366,0.726569,2,Pick
-0.528751,-0.755308,0.721841,2,Pick
-0.541608,-0.750931,0.715062,2,Pick
-0.553304,-0.746335,0.706375,2,Pick
-0.563594,-0.741621,0.695961,2,Pick
-0.572265,-0.736897,0.684036,2,Pick
-0.579139,-0.732267,0.670847,2,Pick
-0.584077,-0.727830,0.656667,2,Pick
-0.586984,-0.723681,0.641788,2,Pick
-0.587808,-0.719903,0.626513,2,Pick
-0.586541,-0.716568,0.611155,2,Pick
-0.583220,-0.713730,0.596025,2,Pick
-0.577931,-0.711432,0.581439,2,Pick
-0.571116,-0.709750,0.568216,2,Pick
-0.563340,-0.708643,0.556769,2,Pick
-0.555015,-0.708005,0.547073,2,Pick
-0.546495,-0.707730,0.539038,2,Pick
-0.538074,-0.707724,0.532522,2,Pick
-0.529984,-0.707901,0.527357,2,Pick
-0.522409,-0.708193,0.523359,2,Pick
-0.515482,-0.708542,0.520342,2,Pick
-0.509300,-0.708906,0.518128,2,Pick
-0.503929,-0.709254,0.516553,2,Pick
-0.499411,-0.709565,0.515469,2,Pick
-0.495772,-0.709825,0.514754,2,Pick
-0.493023,-0.710025,0.514306,2,Pick
-0.491171,-0.710161,0.514048,2,Pick
-0.490218,-0.710232,0.513929,2,Pick
-0.490077,-0.710242,0.513913,2,Pick
-0.490077,-0.710242,0.513913,2,Place
-0.490432,-0.710180,0.515906,2,Place
-0.491479,-0.709953,0.521914,2,Place
-0.493161,-0.709437,0.532014,2,Place
-0.495376,-0.708418,0.546328,2,Place
-0.497975,-0.706582,0.565008,2,Place
-0.500746,-0.703503,0.588214,2,Place
-0.503413,-0.698633,0.616083,2,Place
-0.505617,-0.691288,0.648688,2,Place
-0.506916,-0.680654,0.685984,2,Place
-0.506779,-0.665796,0.727738,2,Place
-0.504592,-0.645691,0.773458,2,Place
-0.499686,-0.619292,0.822310,2,Place
-0.491372,-0.585626,0.873051,2,Place
-0.479007,-0.543921,0.923983,2,Place
-0.462079,-0.493779,0.972963,2,Place
-0.440385,-0.435522,1.017369,2,Place
-0.415230,-0.372934,1.053209,2,Place
-0.387864,-0.308846,1.079108,2,Place
-0.359307,-0.245226,1.095032,2,Place
-0.330600,-0.183959,1.101497,2,Place
-0.302731,-0.126718,1.099548,2,Place
-0.276561,-0.074854,1.090676,2,Place
-0.252756,-0.029306,1.076721,2,Place
-0.231733,0.009458,1.059732,2,Place
-0.213628,0.041466,1.041824,2,Place
-0.198279,0.067226,1.025022,2,Place
-0.185232,0.087686,1.011108,2,Place
-0.173776,0.104147,1.001495,2,Place
-0.162992,0.118160,0.997118,2,Place
-0.151821,0.131404,0.998368,2,Place
-0.139150,0.145552,1.005062,2,Place
-0.123893,0.162143,1.016455,2,Place
-0.105086,0.182462,1.031304,2,Place
-0.081959,0.207440,1.047949,2,Place
-0.054010,0.237589,1.064449,2,Place
-0.021047,0.272960,1.078718,2,Place
0.016784,0.313140,1.088681,2,Place
0.058998,0.357285,1.092429,2,Place
0.104800,0.404184,1.088353,2,Place
0.153129,0.452343,1.075265,2,Place
0.202727,0.500101,1.052477,2,Place
0.252220,0.545739,1.019851,2,Place
0.299987,0.587417,0.978022,2,Place
0.342705,0.622156,0.930577,2,Place
0.379392,0.649446,0.880525,2,Place
0.410103,0.669796,0.830113,2,Place
0.435217,0.684038,0.781157,2,Place
0.455318,0.693171,0.735016,2,Place
0.471090,0.698233,0.692627,2,Place
0.483234,0.700219,0.654561,2,Place
0.492419,0.700027,0.621106,2,Place
0.499243,0.698427,0.592341,2,Place
0.504220,0.696060,0.568211,2,Place
0.507772,0.693437,0.548579,2,Place
0.510232,0.690952,0.533279,2,Place
0.511854,0.688898,0.522142,2,Place
0.512815,0.687476,0.515031,2,Place
0.513226,0.686811,0.511847,2,Place
0.513252,0.686769,0.511648,2,Place
0.513252,0.686769,0.511648,3,Pick
0.516313,0.684813,0.512885,3,Pick
0.525434,0.678840,0.516606,3,Pick
0.540413,0.668541,0.522844,3,Pick
0.560896,0.653413,0.531653,3,Pick
0.586338,0.632779,0.543103,3,Pick
0.615967,0.605822,0.557278,3,Pick
0.648729,0.571636,0.574267,3,Pick
0.683240,0.529301,0.594153,3,Pick
0.717735,0.477986,0.617004,3,Pick
0.750046,0.417081,0.642849,3,Pick
0.777606,0.346366,0.671662,3,Pick
0.797516,0.266202,0.703332,3,Pick
0.806683,0.177729,0.737633,3,Pick
0.802064,0.083044,0.774192,3,Pick
0.781003,-0.014690,0.812459,3,Pick
0.741798,-0.111018,0.851572,3,Pick
0.686816,-0.197438,0.888960,3,Pick
0.619887,-0.269818,0.923409,3,Pick
0.544770,-0.326619,0.954410,3,Pick
0.465366,-0.367336,0.981537,3,Pick
0.385419,-0.392468,1.004458,3,Pick
0.308248,-0.403416,1.022950,3,Pick
0.236524,-0.402293,1.036908,3,Pick
0.172116,-0.391690,1.046347,3,Pick
0.116028,-0.374399,1.051407,3,Pick
0.068411,-0.353150,1.052346,3,Pick
0.028677,-0.330361,1.049528,3,Pick
-0.004342,-0.307957,1.043417,3,Pick
-0.032168,-0.287243,1.034552,3,Pick
-0.056454,-0.268870,1.023535,3,Pick
-0.078751,-0.252877,1.011004,3,Pick
-0.100330,-0.238800,0.997610,3,Pick
-0.122043,-0.225833,0.983998,3,Pick
-0.144265,-0.213024,0.970779,3,Pick
-0.166904,-0.199464,0.958510,3,Pick
-0.189484,-0.184457,0.947677,3,Pick
-0.211270,-0.167643,0.938677,3,Pick
-0.231441,-0.149061,0.931802,3,Pick
-0.249257,-0.129143,0.927240,3,Pick
-0.264218,-0.108646,0.925060,3,Pick
-0.275989,-0.088886,0.925197,3,Pick
-0.284622,-0.071536,0.927247,3,Pick
-0.291035,-0.057013,0.930657,3,Pick
-0.296125,-0.045324,0.934925,3,Pick
-0.300615,-0.036197,0.939626,3,Pick
-0.304994,-0.029210,0.944420,3,Pick
-0.309519,-0.023892,0.949051,3,Pick
-0.314248,-0.019805,0.953341,3,Pick
-0.319096,-0.016593,0.957175,3,Pick
-0.323887,-0.014002,0.960491,3,Pick
-0.328407,-0.011872,0.963263,3,Pick
-0.332798,-0.010724,0.966164,3,Pick
-0.337314,-0.011049,0.969735,3,Pick
-0.341834,-0.012733,0.973772,3,Pick
-0.346183,-0.015711,0.978101,3,Pick
-0.350130,-0.019939,0.982566,3,Pick
-0.353660,-0.025431,0.987179,3,Pick
-0.358053,-0.032610,0.992692,3,Pick
-0.363657,-0.041796,0.999144,3,Pick
-0.370640,-0.053320,1.006387,3,Pick
-0.379171,-0.067571,1.014187,3,Pick
-0.389406,-0.084977,1.022198,3,Pick
-0.401462,-0.105999,1.029937,3,Pick
-0.415390,-0.131095,1.036763,3,Pick
-0.431140,-0.160688,1.041855,3,Pick
-0.448526,-0.195112,1.044214,3,Pick
-0.467185,-0.234543,1.042672,3,Pick
-0.486550,-0.278926,1.035929,3,Pick
-0.505338,-0.326573,1.023059,3,Pick
-0.522169,-0.374945,1.004068,3,Pick
-0.536466,-0.423066,0.979023,3,Pick
-0.547748,-0.469946,0.948188,3,Pick
-0.555641,-0.514613,0.912020,3,Pick
-0.559873,-0.555847,0.871482,3,Pick
-0.560465,-0.591227,0.829650,3,Pick
-0.558038,-0.620582,0.788211,3,Pick
-0.553284,-0.644340,0.748268,3,Pick
-0.546869,-0.663088,0.710654,3,Pick
-0.539397,-0.677499,0.675957,3,Pick
-0.531396,-0.688268,0.644547,3,Pick
-0.523307,-0.696070,0.616622,3,Pick
-0.515490,-0.701527,0.592245,3,Pick
-0.508231,-0.705190,0.571386,3,Pick
-0.501750,-0.707530,0.553956,3,Pick
-0.496210,-0.708936,0.539830,3,Pick
-0.491734,-0.709719,0.528880,3,Pick
-0.488404,-0.710113,0.520985,3,Pick
-0.486276,-0.710287,0.516047,3,Pick
-0.485385,-0.710342,0.514001,3,Pick
-0.485356,-0.710344,0.513935,3,Pick
-0.485356,-0.710344,0.513935,3,Place
-0.485613,-0.710479,0.515156,3,Place
-0.486378,-0.710865,0.518849,3,Place
-0.487635,-0.711442,0.525103,3,Place
-0.489356,-0.712096,0.534063,3,Place
-0.491491,-0.712651,0.545921,3,Place
-0.493970,-0.712843,0.560903,3,Place
-0.496687,-0.712297,0.579248,3,Place
-0.499492,-0.710508,0.601167,3,Place
-0.502180,-0.706825,0.626797,3,Place
-0.504478,-0.700441,0.656133,3,Place
-0.506044,-0.690420,0.688941,3,Place
-0.506474,-0.675743,0.724671,3,Place
-0.505329,-0.655403,0.762371,3,Place
-0.502194,-0.628545,0.800619,3,Place
-0.496772,-0.594640,0.837528,3,Place
-0.489034,-0.553803,0.870742,3,Place
-0.479765,-0.508835,0.896892,3,Place
-0.469984,-0.462096,0.914755,3,Place
-0.460744,-0.415347,0.924310,3,Place
-0.453313,-0.371340,0.926186,3,Place
-0.448629,-0.332695,0.922234,3,Place
-0.446838,-0.299604,0.914662,3,Place
-0.447737,-0.271779,0.905313,3,Place
-0.450888,-0.248668,0.895580,3,Place
-0.455733,-0.229611,0.886412,3,Place
-0.461677,-0.213950,0.878365,3,Place
-0.468164,-0.201101,0.871690,3,Place
-0.474711,-0.190579,0.866415,3,Place
-0.480925,-0.182009,0.862431,3,Place
-0.486509,-0.175114,0.859551,3,Place
-0.490120,-0.169082,0.857671,3,Place
-0.490358,-0.163206,0.856853,3,Place
-0.487521,-0.157702,0.857085,3,Place
-0.481865,-0.152713,0.858367,3,Place
-0.473628,-0.148204,0.860709,3,Place
-0.463940,-0.143434,0.864168,3,Place
-0.453151,-0.138255,0.869071,3,Place
-0.441216,-0.132611,0.875868,3,Place
-0.427991,-0.126332,0.885070,3,Place
-0.413191,-0.119092,0.897213,3,Place
-0.396366,-0.110374,0.912801,3,Place
-0.376874,-0.099437,0.932223,3,Place
-0.353875,-0.085305,0.955636,3,Place
-0.326351,-0.066778,0.982837,3,Place
-0.294005,-0.043124,1.012374,3,Place
-0.257499,-0.014519,1.041822,3,Place
-0.216696,0.019276,1.069657,3,Place
-0.171675,0.058245,1.094317,3,Place
-0.122748,0.102105,1.114266,3,Place
-0.070446,0.150309,1.128069,3,Place
-0.015502,0.202068,1.134472,3,Place
0.041189,0.256386,1.132465,3,Place
0.098607,0.312100,1.121336,3,Place
0.155658,0.367931,1.100715,3,Place
0.211219,0.422549,1.070589,3,Place
0.264198,0.474625,1.031314,3,Place
0.313131,0.522466,0.984090,3,Place
0.355235,0.563147,0.932905,3,Place
0.390430,0.596503,0.880319,3,Place
0.419241,0.623042,0.828245,3,Place
0.442360,0.643503,0.778203,3,Place
0.460558,0.658740,0.731319,3,Place
0.474615,0.669645,0.688372,3,Place
0.485272,0.677081,0.649842,3,Place
0.493202,0.681841,0.615977,3,Place
0.498989,0.684627,0.586854,3,Place
0.503125,0.686031,0.562433,3,Place
0.506009,0.686544,0.542607,3,Place
0.507956,0.686551,0.527239,3,Place
0.509200,0.686343,0.516193,3,Place
0.509905,0.686124,0.509352,3,Place
0.510171,0.686018,0.506640,3,Place
0.510177,0.686016,0.506586,3,Place
0.510177,0.686016,0.506586,4,Pick
0.511891,0.684859,0.506950,4,Pick
0.517012,0.681359,0.508052,4,Pick
0.525477,0.675425,0.509919,4,Pick
0.537175,0.666905,0.512595,4,Pick
0.551945,0.655596,0.516144,4,Pick
0.569562,0.641242,0.520645,4,Pick
0.589733,0.623551,0.526195,4,Pick
0.612081,0.602196,0.532905,4,Pick
0.636136,0.576840,0.540901,4,Pick
0.661323,0.547153,0.550315,4,Pick
0.686954,0.512837,0.561286,4,Pick
0.712223,0.473657,0.573950,4,Pick
0.736208,0.429482,0.588432,4,Pick
0.757886,0.380317,0.604838,4,Pick
0.776157,0.326353,0.623239,4,Pick
0.789855,0.268165,0.643604,4,Pick
0.797704,0.209062,0.664921,4,Pick
0.799592,0.150719,0.686677,4,Pick
0.795790,0.093828,0.708678,4,Pick
0.786675,0.039018,0.730723,4,Pick
0.772713,-0.013165,0.752615,4,Pick
0.754447,-0.062268,0.774157,4,Pick
0.732471,-0.107949,0.795163,4,Pick
0.707416,-0.149981,0.815454,4,Pick
0.679919,-0.188253,0.834870,4,Pick
0.650608,-0.222773,0.853264,4,Pick
0.620073,-0.253659,0.870512,4,Pick
0.588848,-0.281130,0.886510,4,Pick
0.557395,-0.305487,0.901180,4,Pick
0.526086,-0.327102,0.914466,4,Pick
0.495191,-0.346391,0.926339,4,Pick
0.464875,-0.363796,0.936796,4,Pick
0.435197,-0.379756,0.945857,4,Pick
0.406109,-0.394689,0.953570,4,Pick
0.377468,-0.408970,0.960002,4,Pick
0.349046,-0.422904,0.965242,4,Pick
0.320549,-0.436717,0.969399,4,Pick
0.291638,-0.450541,0.972595,4,Pick
0.261945,-0.464401,0.974968,4,Pick
0.231106,-0.478216,0.976662,4,Pick
0.198777,-0.491801,0.977830,4,Pick
0.164663,-0.504869,0.978627,4,Pick
0.128966,-0.516914,0.979201,4,Pick
0.093469,-0.527069,0.979676,4,Pick
0.058700,-0.535147,0.980167,4,Pick
0.025054,-0.541140,0.980740,4,Pick
-0.007069,-0.545147,0.981425,4,Pick
-0.037297,-0.547359,0.982222,4,Pick
-0.065305,-0.548034,0.983113,4,Pick
-0.090827,-0.547476,0.984064,4,Pick
-0.113658,-0.546012,0.985032,4,Pick
-0.134166,-0.545702,0.984371,4,Pick
-0.152602,-0.548217,0.980759,4,Pick
-0.168686,-0.553705,0.974179,4,Pick
-0.181982,-0.562215,0.964604,4,Pick
-0.194714,-0.572445,0.952864,4,Pick
-0.208563,-0.583440,0.939475,4,Pick
-0.223444,-0.595072,0.924348,4,Pick
-0.239262,-0.607191,0.907402,4,Pick
-0.255916,-0.619625,0.888566,4,Pick
-0.273300,-0.632184,0.867786,4,Pick
-0.291305,-0.644652,0.845030,4,Pick
-0.309300,-0.656467,0.821011,4,Pick
